Full Name, Age, Phone number, Street Adress, Code, City, Pet
Amalie Dahl,18,06305736,Østre Konvalltunet 96,0150,Nær,British Shorthair
Sunniva Olsen,63,+47 48 47 13 35,Nilsenveien 0,8160,Sme,Volpino Italiano
Prof. Mari Jørgensen,19,029 65 324,Fjelds Vei 91,7179,Sme,Vizsla
Sindre Fossum,63,92349881,Eriksenveien 36,0398,Nær,American Shorthair
Andreas Løken IV,26,+47 44 80 65 29,Johansengata 94,0230,Sand,Japanese Spitz
Elias Johnsen,51,78 54 39 61,Gamle Litjekra 17,8626,Mal,Hygen Hound
Frida Strand,60,813 31 133,Nedre Lilleplassen 08,0168,Høy,Devon Rex
Maren Holm,78,+47 16 31 49 87,Gamle Fiolbakken 47,0500,Sme,LaPerm
Erik Finstad,38,+47 37 35 28 85,Løkens Vei 41,9632,Fet,Ragdoll
Maria Vedvik,77,62 14 48 09,Gamle Blåveismarka 5,4319,Nær,American Curl
Tobias Ødegård,57,817 96 573,Fossespranget 2,0507,Inn,Siberian
Maria Hagen,39,75 89 55 74,Søndre Tingmarka 49,1168,Gjes,Chihuahua
Jørgen Jørgensen,18,43150234,Gamle Kutjernet 27,1281,Vest,Irish Wolfhound
Sebastian Christiansen,65,05 03 21 85,Fridasvei 42,3084,Lo,Sphynx
Sindre Berge,66,200 47 667,Øvre Kuflata 5,6880,Gjes,Bull Terrier
Maren Moe,78,268 77 903,Martegata 07,9160,Ut,Munchkin
Andrea Christiansen,89,+47 28 82 36 27,Ryansgate 84,0128,Stor,Maine Coon
Prof. Erik Jakobsen,27,201 88 102,Mathisensgate 7,4346,Ut,Turkish Angora
Martine Henriksen I,52,+47 06 19 24 17,Adriangata 10,3308,Tand,Brittany
Sandra Berge,38,17 50 55 47,Finstadveien 44,2276,Nord,American Wirehair
Anders Fossum,26,+47 85 62 69 23,Edvardsens Gate 2,6357,Høy,Savannah
Dr. Karoline Amundsen,56,836 11 108,Vestre Furumyra 0,3021,Fet,Small Greek domestic dog
Synne Myhrer,71,00584000,Vasshavna 4,2418,Inn,Cavalier King Charles Spaniel
Maren Rasmussen,36,null,Edvardsenveien 9,0179,Mal,Australian Kelpie
Thomas Hansen,40,482 27 172,Joakims Vei 16,4053,Lo,Chesapeake Bay Retriever
Prof. Joakim Olstad III,26,99167114,Martinsvei 86,6299,Ut,Norwegian Lundehund
Alexander Pedersen,76,683 23 533,Ruudveien 54,2581,Sand,English Cocker Spaniel
Malin Solheim,36,+47 71 37 81 53,Husebys Gate 66,0785,Mal,Volpino Italiano
Hedda Bjørnstad,24,44693532,Søndre Bekketoppen 35,4272,Sand,Silken Windhound
Sondre Lunde,64,901 92 111,Øvre Bergåsen 9,2139,Fet,Sphynx
Sunniva Haukelidsæter,49,+47 66 15 63 09,Noras Vei 99,6160,Inn,Serengeti
Anders Kleven,83,985 48 671,Bekkestien 74,5851,Sme,Toyger
Mina Evensen,21,+47 33 44 02 43,Bjørnstadsgate 8,1661,Ut,Pomeranian
Martin Finstad,83,+47 34 67 29 23,Nedre Geiteryggåsen 68,2247,Lo,Caucasian Shepherd Dog
Dr. Jonathan Lie,41,+47 09 52 68 33,Bekkebråten 1,1268,Lo,Pumi
Kristian Danielsen,62,41244418,Vildegata 46,1077,Lo,Burmese
Mathilde Andersen,73,194 07 375,Leahveien 37,5665,Lille,English Springer Spaniel
Lars Røed,74,85 57 40 30,Østre Eikefaret 6,0424,Ut,Abyssinian
Filip Strand,30,33 10 23 92,Øvre Korsbakken 2,0197,Gjes,Ojos Azules
Filip Hagen,27,+47 63 26 45 50,Olesgate 0,0982,Sand,Peterbald
Ole Smedsrud,27,740 25 478,Nguyens Vei 15,0800,Fager,Australian Cattle Dog
Filip Mathisen,28,147 44 091,Sjøhaugen 7,2782,Lo,Griffon Bleu de Gascogne
Maja Christiansen,79,33 15 31 66,Gamle Lillestranda 45,1052,Høy,Snowshoe
Mathilde Olstad,94,+47 78 80 22 30,Magnusgata 71,0668,Lille,Spanish Mastiff
Marie Wold,82,+47 79 93 14 30,Nordbygata 93,8412,Sme,Dachshund
Sebastian Smogeli,47,74255787,Solbergveien 2,0371,Lo,Chausie
Aurora Kristiansen,63,040 11 369,Smedsruds Vei 8,9992,Nær,Ojos Azules
Prof. Aurora Vegge II,55,+47 72 18 73 34,Furugjerdet 8,6090,Ut,Stabyhoun
Elise Røed,48,700 82 236,Bjørnstads Gate 88,3158,Nord,Turkish Angora
Benjamin Hopland Sr.,62,+47 51 54 90 87,Aasensgate 9,0740,Tand,Balinese
Sindre Fredriksen,37,+47 60 06 47 85,Kaspers Gate 2,2647,Høy,Westphalian Dachsbracke
Alexander Nguyen,89,62266242,Hagens Vei 93,0773,Lo,Leonberger
Filip Fossum,35,+47 06 86 29 95,Vestre Blåveislunden 1,9986,Tand,Norwegian Elkhound
Mats Solberg Jr.,86,+47 83 53 47 66,Danielsensgate 83,0901,Ut,British Shorthair
Marte Rasmussen,65,+47 21 22 10 17,Nordskauggata 61,8545,Mal,Peterbald
Prof. Lucas Torp IV,72,264 24 688,Martineveien 8,4484,Fager,Bouvier des Ardennes
Aksel Olstad,77,881 15 918,Leahsvei 0,5961,Tand,Manx
Fredrik Holm,54,55 05 57 32,Daniels Gate 67,0889,Fager,Gull Dong
Anders Olsen,20,010 80 492,Eikestien 5,0756,Nord,Bombay
Lucas Bjørnstad,28,92 75 05 42,Julieveien 27,9227,Nord,British Shorthair
Ole Berge,91,+47 59 61 47 72,Søndre Tinglunden 1,8865,Lille,Bullmastiff
Even Arnesen,19,079 69 760,Granittholtet 9,0793,Gjes,Campeiro Bulldog
Mikkel Fossum,37,18274005,Solbergsvei 51,0190,Ut,Mackenzie River Husky
Eline Pettersen,71,43 33 76 82,Stensrudsvei 4,8389,Nær,Tonkinese
Selma Christiansen,22,+47 23 02 37 74,Nedre Prestejordet 42,0982,Stor,undefined
Ingrid Edvardsen,85,52 10 68 90,Øvre Presteflata 3,5981,Nær,Azawakh
Jørgen Nielsen Jr.,63,73437995,Arnesens Gate 0,3059,Vest,Ojos Azules
Leah Vegge,26,46 99 34 32,Heggeskrenten 89,0605,Sme,Exotic Shorthair
Theodor Amundsen,66,86 62 13 02,Husebys Gate 79,0238,Stav,Persian
Kasper Vedvik,52,90130001,Øvre Lillemoen 5,9578,Stav,Toyger
Dr. Kristine Fossum,57,+47 39 61 80 73,Tingtunet 4,9188,Inn,Patagonian Sheepdog
Frida Jørgensen,67,+47 23 86 49 89,Sætherveien 8,1064,Gjes,Ocicat
Frida Evensen,91,409 06 606,Vestre Blåveiskroken 78,0316,Inn,Siamese
Erik Pedersen V,17,79 70 18 97,Høyrøa 8,0400,Gjes,Boykin Spaniel
Dr. Eirik Jacobsen,52,71 21 50 41,Østre Malmvika 06,9198,Høy,Segugio dell'Appennino
Dr. Hanna Smogeli,85,76731258,Johannessens Gate 88,4109,Sand,Finnish Spitz
Madeleine Rasmussen,93,40 88 64 11,Bjørketjernet 2,0754,Lille,Turkish Angora
Adrian Nilsen,88,95 08 57 76,Vestre Elvegjerdet 7,0891,Tand,Greek Harehound
Lars Nilsen,61,91916284,Odasgate 0,5440,Lo,Devon Rex
Malin Sæther,64,97 07 07 10,Vestre Granbråten 0,0107,Nord,Tonkinese
Sunniva Strand,38,02759677,Jørgensengata 32,8069,Inn,Briard
Karoline Johansen,78,855 19 417,Amaliegata 8,1628,Inn,Cornish Rex
Prof. Kaja Olstad,42,74 77 95 30,Klokkerkollen 10,4406,Stor,Istrian Shorthaired Hound
Silje Borge,59,944 56 175,Solberggata 98,6141,Tand,Tibetan Terrier
Mats Sørlie,75,+47 13 47 47 31,Søndre Malmvika 9,7823,Fet,New Guinea Singing Dog
Anna Østli,69,+47 66 73 75 76,Vestre Konvallengen 46,0372,Mal,Cornish Rex
Lucas Bakken,39,40 01 00 31,Andresens Vei 4,7759,Nær,Turkish Angora
Leah Larsen,51,502 04 024,Sollis Gate 2,0775,Inn,Standard Schnauzer
Kristoffer Nguyen,49,44605302,Minas Vei 9,4577,Sand,Serbian Tricolour Hound
Simen Edvardsen II,49,61 88 63 35,Skoglunds Vei 6,9886,Ut,Abyssinian
Prof. Isak Hansen,76,09964933,Husebysgate 77,2196,Tand,Toyger
Dr. Frida Tangen,84,42 04 77 90,Søndre Torgspranget 75,4655,Nær,LaPerm
Marius Myhrer,78,+47 03 22 11 85,Øvre Presterøa 76,9751,Nord,Hokkaido
Prof. Anders Finstad,67,73 58 55 10,Hansens Vei 25,8846,Gjes,Turkish Angora
Andrea Edvardsen,77,070 96 836,Eriksensvei 38,4140,Stor,Ojos Azules
Tiril Halvorsen,95,598 89 144,Kirketoppen 59,8359,Fager,Greyhound
Kasper Wold,19,602 88 599,Adrianveien 5,5776,Sand,Pixiebob
Sandra Sørensen,77,495 31 182,Korsholtet 60,8971,Nær,Chinese Crested Dog
Kristine Danielsen,23,080 70 556,Øvre Furujordet 6,0666,Tand,Selkirk Rex
Malin Evensen IV,73,16 92 45 11,Torgløkka 7,0736,Ut,Samoyed
Sandra Rasmussen,57,394 88 824,Håkonsvei 64,4060,Fet,Alaskan Malamute
Kasper Larsen I,40,99737680,Malmlia 25,8882,Høy,Chilean Terrier
Emma Andreassen,68,+47 42 27 98 09,Magnussgate 51,1509,Mal,Cão da Serra de Aires
Andreas Bjerke,21,198 82 291,1640,Fager,Sphynx
Prof. Adrian Wold,67,430 33 417,Gamle Geiteryggbakken 90,9897,Stor,Nebelung
Daniel Fossum,92,+47 44 51 44 08,Strandsvei 8,7318,Sme,Bucovina Shepherd Dog
Prof. Mikkel Strand,69,38402704,Solliveien 67,2371,Tand,Pharaoh Hound
Mari Jakobsen,20,+47 15 19 36 93,Øvre Solduggmarka 0,0742,Gjes,Saint-Usuge Spaniel
Madeleine Lunde,70,93058306,Nedre Soltjernet 28,2743,Høy,Porcelaine
Maren Bjørnstad,82,+47 84 44 47 43,Nedre Eikespranget 5,2475,Nær,Abyssinian
Fredrik Solheim,21,+47 32 76 44 83,Søndre Sjømarka 77,0258,Gjes,Singapura
Mina Østby,82,+47 37 31 45 26,Vestre Bjørkehøgda 4,3118,Fager,undefined
Dr. Madeleine Danielsen,54,54 48 16 07,Østre Geiteryggflata 1,6353,Sme,Somali
Mina Haukelidsæter,55,080 71 481,Prestefaret 11,0019,Fet,Somali
Jonas Olsen,56,53 47 05 43,Vestre Fossegropa 69,0528,Tand,Slovenský Kopov
Mats Solheim,94,+47 62 66 48 69,Øvre Blåveiskroken 3,9276,Stav,Aidi
Jonathan Fredriksen,83,+47 86 96 30 24,Matss Gate 18,0611,Lo,Welsh Springer Spaniel
Fredrik Haukelidsæter,28,718 31 397,6824,Høy,Rampur Greyhound
Kristine Smogeli,19,46135734,Kirkebakken 94,0463,Ut,Estrela Mountain Dog
Erik Berge,37,71112394,Bekkeskrenten 40,0743,Fet,Saint Hubert Jura Hound
Herman Moen,65,+47 52 87 85 00,Strandgata 85,0874,Sand,Nebelung
Simen Nielsen,44,+47 18 91 83 04,Hansens Vei 30,1370,Gjes,Ocicat
Andreas Andresen,91,790 76 177,Jakobsensgate 1,7255,Gjes,Burmese
Mikkel Østby I,42,+47 05 39 05 65,Gamle Hestemyrlunden 0,6057,Lille,Schweizer Laufhund
Marius Kvarme,47,119 20 127,Eriksenveien 22,0694,Inn,German Wirehaired Pointer
Thomas Bakke V,22,78 67 41 72,Østre Fossevollen 86,0270,Nær,Selkirk Rex
Camilla Andreassen,79,09 82 05 27,Furubakken 55,0532,Lille,Cane Paratore
Julie Gran,78,61291411,Østre Elveringen 7,0785,Høy,Peterbald
Kristoffer Hopland,55,70 09 25 74,Borges Gate 29,0483,Gjes,American Bulldog
Håkon Bakken,64,180 04 028,Fossekroken 62,0902,Vest,American Shorthair
Natalie Kleven,24,81274037,Grangropa 9,0675,Fager,Abyssinian
Natalie Andreassen,42,59 44 61 19,Tobiassvei 05,0635,Høy,Munchkin
Mikkel Pedersen,90,76 85 07 64,Heggestranda 68,3368,Sme,Devon Rex
Andreas Johansen,17,67 32 50 57,Helenesgate 0,2038,Ut,undefined
Hanna Berg III,32,703 98 520,Sandergata 43,0384,Gjes,White Swiss Shepherd Dog
Tuva Hansen,81,+47 41 86 88 68,Gamle Høyhavna 00,0616,Sme,Smooth Collie
Mikkel Nilsen,87,+47 88 97 87 32,Østre Sjømyra 0,0490,Fager,Volpino Italiano
Sebastian Fossum,82,87 12 47 86,Hannaveien 77,1118,Sme,Šarplaninac
Kristine Bakke,30,969 76 065,Søndre Damgrenda 12,3299,Ut,undefined
Prof. Henrik Dahl,61,49 82 29 80,Pedersens Gate 7,0527,Nær,Somali
Joakim Ryan,73,48 05 27 05,Finstadsgate 3,4872,Sme,Taiwan Dog
Daniel Eriksen,26,+47 78 27 33 76,Fiolbråten 5,2267,Lo,Bhotia
Emma Aasen,22,44553458,Adrians Vei 9,5447,Lille,Tyrolean Hound
Henrik Nilsen Jr.,84,021 18 415,Eidesgate 96,3943,Lille,Himalayan
Aurora Smogeli,59,15 50 09 03,Vassstykket 5,3029,Nord,Chippiparai
Dr. Hedda Ryan,24,27 44 64 43,Eiriks Vei 8,0816,Tand,Catahoula Leopard Dog
Marte Kristiansen,16,214 38 207,Blåveishaugen 35,0787,Lo,Somali
Jonas Larsen,35,44466857,Evensensvei 75,3934,Vest,Sphynx
Linnea Henriksen,87,57 75 68 26,Nedre Fiolhavna 0,4163,Nord,Bouvier des Flandres
Hanna Jacobsen,31,72451085,Prestebakken 02,0548,Sand,Snowshoe
Martine Sørlie,35,97 75 14 67,Nedre Konvallfaret 8,0209,Nord,English Springer Spaniel
Dr. Jørgen Pettersen,45,494 32 410,Østre Torgbråten 3,1183,Stor,Akbash
Natalie Bjørnstad,43,35 86 10 77,Sandras Gate 9,0231,Vest,Japanese Bobtail
Maria Moe,79,68 92 23 59,Øvre Soldugggrenda 8,8818,Lille,Chongqing dog
Dr. Kaja Lunde,47,009 03 031,Skoglundveien 8,2406,Mal,Russian Blue
Magnus Kristensen,21,685 73 838,Ingridsgate 63,5701,Lille,Romanian Mioritic Shepherd Dog
Vilde Kleven,26,+47 95 96 30 73,Smogelis Vei 7,4850,Sand,Manx
Emil Vedvik,62,78097887,Gloslisvei 09,5757,Sand,Donskoy
Aurora Karlsen,30,+47 16 67 09 49,Moengata 2,0101,Lo,LaPerm
Prof. Oskar Kleven,33,null,Solduggeggen 42,3445,Sand,Chartreux
Håkon Ødegård,88,32 42 49 17,Kirkestranda 3,0812,Gjes,Minskin
Prof. Lucas Svendsen III,21,586 63 015,Nedre Høylia 3,2815,Lille,Petit Basset Griffon Vendéen
Tuva Bakken,76,88217243,Auroragata 6,0584,Tand,Dandie Dinmont Terrier
Alexander Larsen,84,418 84 313,Soldugglyngen 16,1444,Nord,Otterhound
Camilla Jørgensen IV,59,+47 84 69 31 11,Eidegata 2,6968,Sme,Stephens Stock
Sofie Sørlie,75,196 51 604,Fridas Gate 8,4608,Fet,undefined
Madeleine Gundersen,83,84875914,Vedvikgata 21,7021,Vest,Greyhound
Daniel Andreassen,88,71420318,Hestemyrbakken 83,4989,Sme,Turkish Angora
Madeleine Kristiansen,27,49 77 88 21,Kuskogen 93,1049,Stav,English Cocker Spaniel
Hedda Strand Jr.,62,80563372,Victorias Gate 70,8912,Tand,Thai
Ingrid Fossum,58,263 38 017,Korstoppen 27,3011,Stor,Glen of Imaal Terrier
Lucas Stensrud,15,+47 17 74 21 58,Eikekroken 8,1213,Lille,Cantabrian Water Dog
Jakob Bjerke,29,03 49 59 39,Korsspranget 11,0403,Tand,Maltese
Sindre Huseby,66,52 33 51 15,Matssgate 41,0203,Nær,Burmese
Karoline Mathisen,38,null,Geiteryggsvingen 1,8476,Stav,Irish Water Spaniel
Eirik Carlsen,39,+47 40 29 38 07,Hoplandsgate 0,0944,Inn,Pampas Deerhound
Sara Sørlie,87,072 45 146,Bekkelia 4,9914,Sand,Sokoke
Emma Bjerke,46,00890517,Martines Vei 26,0334,Mal,Basset Fauve de Bretagne
Herman Nygård,29,09213917,Martines Gate 0,5237,Fet,Norwich Terrier
Markus Andreassen II,28,986 08 020,Moes Vei 47,0443,Ut,Yakutian Laika
Hanna Fossum,66,560 24 253,Norasgate 26,0304,Fet,Cesky Fousek
Prof. Hanna Carlsen,79,92 54 59 74,Henriksens Gate 48,0227,Mal,Ariegeois
Celine Edvardsen,60,428 56 046,Emilsvei 0,3949,Nær,Balinese
Nora Hagen,88,+47 73 71 01 96,Søndre Furukollen 26,6232,Stor,Croatian Sheepdog
Maren Berg,56,053 36 420,Malmengen 3,4150,Lo,Savannah
Joakim Olsen,53,49 38 94 66,Jørgensensgate 51,0770,Inn,Snowshoe
86,171 42 130,Høyvollen 45,7843,Stav,Manx
Prof. Helene Østli,73,088 99 545,Vestre Sjøbakken 9,5866,Mal,Grand Anglo-Français Tricolore
Vilde Ødegård,17,20 63 74 25,Bakkenveien 65,3159,Tand,Chartreux
Karoline Kleven,45,04655914,Amundsens Gate 07,2724,Lille,undefined
Isak Ødegård,85,+47 49 74 41 86,Mariaveien 7,0303,Stor,Japanese Bobtail
29,46241745,Granittgrenda 38,0664,Nær,Nebelung
Jakob Pettersen,38,96363271,Svendsensgate 0,0035,Nær,Mountain Cur
Emma Carlsen,18,31 42 73 75,Gamle Bekkegata 2,1613,Nær,Norfolk Terrier
Sebastian Fossum,56,730 71 181,Søndre Klokkerflata 8,0493,Lille,Thai
Mathilde Johannessen,83,41 48 18 15,Christiansensvei 6,0188,Sme,Villanuco de Las Encartaciones
Mia Krogh,63,+47 56 89 87 01,Gamle Bruløkka 76,0621,Vest,Peterbald
Daniel Stensrud,50,26501492,Mariussvei 50,9794,Lille,Pixiebob
Amalie Holm,70,+47 91 20 09 49,Mikkels Vei 14,4684,Sme,Cornish Rex
Linnea Aas,95,40720356,Nedre Lillerøa 79,6508,Inn,undefined
Anders Andersen,73,+47 36 26 68 12,Bergflata 85,9121,Lille,Perro de Presa Mallorquin
Elise Moe,54,+47 39 30 65 06,Solduggtoppen 05,2433,Sand,Toyger
Tobias Strand,63,901 13 529,Torgvika 76,8435,Fet,Black Mouth Cur
Aurora Sørensen,44,15272947,Oskarsgate 4,4317,Ut,Hokkaido
Mari Solheim,72,59 44 58 42,Smogeliveien 46,7940,Sand,Coton de Tulear
Prof. Mathilde Vedvik,81,64878785,Tinggrenda 99,1838,Sand,Turkish Van
Vilde Wold,69,934 60 029,Kuhøgda 1,8544,Nord,Tornjak
Emilie Johnsen,43,94 98 63 01,Elises Vei 1,0400,Lo,Saluki
Julie Karlsen,38,v274q54am,Vestre Bergflata 0,0492,Sand,McNab dog
Lars Johnsen,54,+47 54 84 32 50,Martinsenveien 72,5840,Vest,Selkirk Rex
Dr. Magnus Sørlie,21,76576375,Jørgensens Gate 9,6609,Nord,Kombai
Hedda Østli,74,54074455,Øvre Kueggen 64,2889,Stor,Hovawart
Kasper Fredriksen,80,27 68 83 64,Smedsrudsgate 1,1861,Sme,Sinhala Hound
Isak Kleven,37,49 18 46 26,Lucasgata 89,3189,Fet,Blue Picardy Spaniel
Synne Danielsen,59,524 49 308,Strands Gate 94,4125,Gjes,Plummer Terrier
Ingrid Evensen,17,17809279,Helenes Gate 74,1992,Mal,Toyger
Marius Fossum,18,25392859,Filipgata 55,0672,Sand,Tibetan Terrier
Karoline Fredriksen,65,02 23 29 30,Gamle Granittskrenten 80,8760,Stav,Bhotia
Linnea Skoglund,18,+47 59 66 74 90,Olesgate 2,0121,Inn,Russian Blue
Simen Eide,42,+47 17 95 17 67,Veggeveien 81,8204,Gjes,Drever
Martine Lunde,39,+47 86 42 13 26,Vildes Gate 30,0339,Nord,Havana
Ole Edvardsen,84,40268514,Fredriksengata 9,0485,Nær,Lapponian Herder
Theodor Røed,65,623 57 178,Østre Konvallspranget 97,0855,Stor,American Wirehair
Prof. Celine Nielsen,46,+47 32 05 94 40,Vestre Elveflata 03,2912,Fet,Indian pariah dog
Mina Martinsen,54,20381155,Sondreveien 9,0807,Stav,Huntaway
Prof. Kristian Fossum,57,518 55 776,Gamle Konvallmarka 3,0345,Sme,Pyrenean Mastiff
Prof. Aurora Evensen,46,79 68 96 29,Nygårdsgate 1,8346,Vest,Canadian Eskimo Dog
Joakim Kristensen Sr.,22,+47 71 22 73 14,Larsensgate 17,0042,Sand,Maremmano-Abruzzese Sheepdog
Noah Nielsen Jr.,26,425 72 338,Granfaret 14,2844,Stor,Siberian
Dr. Aksel Christiansen,23,99687623,Granengen 5,0651,Inn,Chartreux
Hanna Skoglund,58,07 61 21 82,Fururøa 9,6511,Vest,Himalayan
Fredrik Vegge,37,559 92 421,Blåveisskrenten 1,0330,Lo,Siamese
Sindre Fjeld,72,697 67 994,Berggrenda 2,7007,Nær,Kuchi
Anna Jakobsen,33,96 92 72 55,Tangens Vei 57,9909,Mal,Tibetan Terrier
Dr. Eirik Andersen,18,618 27 998,Andresenveien 5,6480,Gjes,Clumber Spaniel
Magnus Amundsen,87,94815401,Sørlies Gate 95,0018,Mal,American Wirehair
Johannes Sørensen,74,139 75 076,Torghaugen 79,4277,Gjes,Billy
Dr. Anna Torp,34,+47 31 84 22 93,Heggekollen 7,1355,Tand,Cornish Rex
Alexander Løken,83,690 53 863,Saragata 2,8126,Sand,Sokoke
Marte Tangen,18,+47 82 80 47 18,Danielsvei 37,9534,Lille,Persian
Nikolai Hopland III,45,18450111,Furuekra 89,7674,Ut,Sapsali
Mina Martinsen,48,null,Øvre Fossemoen 1,0932,Lo,Slovenský Kopov
Aksel Danielsen,78,895 88 294,Østre Litjåsen 0,0811,Inn,Ojos Azules
Filip Eriksen,95,49946137,Larsens Vei 4,5933,Sand,Giant Schnauzer
Markus Aalerud,85,22 96 65 31,Furugrenda 4,4501,Inn,Savannah
Johannes Lie,36,43800033,Furutjernet 45,1178,Lille,English Shepherd
Alexander Danielsen,57,783 90 224,Vestre Bekkegata 92,0025,Ut,Perro de Pastor Mallorquin
Dr. Thea Tangen,70,43 56 39 98,Nguyenveien 04,4747,Høy,Cairn Terrier
Elise Pedersen,33,052 08 416,Kukroken 20,9515,Sme,Serbian Hound
Sebastian Strand,29,52 44 07 23,Johansensgate 19,6761,Lo,Greek Harehound
Nora Hagen,93,386 62 042,Tuvaveien 40,0323,Inn,Treeing Walker Coonhound
Kaja Holm,51,+47 86 75 29 18,Korsstykket 28,7423,Sme,Birman
Linnea Nordskaug,57,99 16 43 73,Blåveisbråten 62,6564,Gjes,Tonkinese
Mathilde Ødegård,18,+47 22 47 27 29,Nedre Furutunet 75,4520,Fet,Wirehaired Pointing Griffon
Håkon Bjerke II,73,298 75 171,Bjørkespranget 2,3488,Nord,Terrier Brasileiro
Ole Nielsen II,68,406 86 714,Prestehøgda 30,0129,Sand,Pixiebob
Selma Torp,33,+47 60 97 44 17,Østre Bjørkebakken 4,0672,Ut,Russian Blue
Vilde Vedvik,36,75066184,Jakobsens Vei 3,6934,Nord,Shikoku
Dr. Oskar Carlsen,69,71 13 07 48,Østre Dambråten 9,9605,Mal,Treeing Tennessee Brindle
Alexander Haukelidsæter,57,120 28 269,Håkonsgate 1,7440,Nær,Staffordshire Bull Terrier
Prof. Sofie Lunde,74,+47 65 53 20 60,Anderss Vei 63,0644,Fager,Russian Blue
Prof. Mats Nilsen,22,66 13 26 00,Johannesgata 51,6274,Nær,German Shorthaired Pointer
Henrik Vegge,30,870 55 580,Damvollen 37,0153,Lo,Japanese Bobtail
Dr. Lars Bjerke,71,95229639,Søndre Konvallvollen 6,5959,Høy,Snowshoe
Silje Martinsen,35,73331587,Gamle Konvallmarka 7,0577,Stav,Vizsla
Camilla Holm,55,3kl7lhcn7,Johannessengata 23,6623,Sme,Peterbald
Jenny Pettersen I,51,346 24 684,Nedre Prestegjerdet 0,5854,Tand,Burmese
Dr. Mikkel Myhrer,49,72009532,Olivergata 3,4933,Tand,Selkirk Rex
Joakim Solli,26,15239331,Karlsengata 8,8028,Mal,Maine Coon
Simen Skoglund IV,80,642 90 083,Bekkemoen 8,4148,Ut,Dutch Smoushond
Frida Jacobsen IV,50,+47 83 85 43 81,Jørgensens Vei 68,3958,Ut,Canaan Dog
Thea Johnsen,34,02 83 59 89,Haugengata 4,3570,Gjes,Smalandstövare
Sebastian Smogeli,37,+47 88 23 30 52,Blåveisvika 7,9844,Høy,Koyun dog
Alexander Aas,44,35 66 30 16,Vestre Granlyngen 88,3425,Nord,Toy Manchester Terrier
Lucas Berge,68,226 00 063,Marensvei 0,0837,Fet,Chartreux
Tiril Berge,41,454 12 624,Oskars Vei 06,0380,Inn,Donskoy
Emilie Mathisen,52,372 08 918,Østre Torgbakken 16,8385,Gjes,Devon Rex
Ingrid Edvardsen,16,+47 48 46 07 40,Bjørkerøa 16,0736,Høy,Balinese
Theodor Moen,69,79374305,Korsroa 42,6952,Inn,Egyptian Mau
Prof. Maja Røed,66,47 07 27 21,Kajasgate 07,9099,Høy,Grand Anglo-Français Blanc et Noir
Marius Andresen,85,57742282,Kristiansgate 11,5548,Mal,Irish Setter
Prof. Sindre Nielsen III,45,+47 27 55 32 15,Simens Vei 62,9878,Høy,Lupo Italiano
Kristoffer Halvorsen,77,490 62 162,Søndre Hestemyrstranda 2,9007,Fager,Siberian
Thea Jørgensen,61,96 40 86 54,Skuterudveien 8,4037,Høy,Leonberger
Leah Glosli,23,82155647,Nedre Granitttoppen 1,2079,Mal,American Curl
Lucas Dahl,53,270 74 204,Fosseengen 9,0914,Sme,Siamese
Dr. Mia Johansen,64,+47 10 18 25 18,Østre Bekkeløkka 9,1368,Lo,Kintamani
Prof. Ingrid Smogeli,39,87648491,Fiolplassen 7,7099,Tand,Leonberger
Sara Lunde,55,448 64 958,Kaspers Gate 48,0589,Fet,Siberian Husky
Sofie Dahl,69,038 78 133,Øvre Rogneskrenten 5,0949,Sand,Picardy Spaniel
71,32 72 19 05,Korsekra 3,6252,Høy,Serengeti
Vilde Berntsen,95,46 51 26 24,Presteløkka 8,7235,Vest,Blue Picardy Spaniel
Sofie Henriksen,57,05612340,Gamle Vassstranda 0,0490,Stor,Cão de Gado Transmontano
Elias Johnsen,33,40 72 25 53,Eikeåsen 9,1703,Sme,Boykin Spaniel
Andreas Ruud,79,+47 09 32 05 39,Granittlunden 7,7555,Vest,Smalandstövare
Marie Nordskaug II,86,hh2ruce1p,Klokkeråsen 45,0108,Inn,Toyger
Daniel Hagen,21,17 96 89 05,Olstadgata 5,4887,Nær,Donskoy
Martin Nguyen Jr.,16,37658823,Tinggjerdet 4,9763,Mal,Bracco Italiano
Dr. Adrian Haukelidsæter,17,40 78 47 29,Granbråten 2,1926,Sme,Kintamani
Camilla Jensen,61,194 62 560,Markusgata 93,1482,Fager,LaPerm
Maja Eriksen,76,936 25 502,Nielsensvei 5,3802,Gjes,Sphynx
William Kristiansen,94,+47 33 45 70 73,Vildes Vei 30,2855,Sand,Australian Stumpy Tail Cattle Dog
Simen Svendsen,30,910 01 828,Nedre Konvallhavna 4,7568,Stav,Singapura
Eline Nordby,46,72366532,Nedre Lilleroa 8,0714,Lo,Persian
Henrik Nordby,39,001 00 549,Granhavna 78,7415,Lille,Chartreux
Benjamin Pettersen,68,20537619,Miasgate 8,0684,Nord,Sokoke
Thomas Tangen,85,67418546,Øvre Sjøskrenten 56,9327,Tand,Egyptian Mau
Lars Johnsen,54,754 63 207,Sindresgate 69,4618,Nord,Savannah
Eline Nygård,55,+47 08 19 70 55,Rognebakken 1,5794,Inn,Turkish Angora
Emilie Gundersen,81,56176321,Holmsgate 9,0169,Fet,Jagdterrier
Tobias Gran,52,44 19 46 96,Vedviksgate 90,9044,Gjes,American Wirehair
Prof. Frida Evensen Jr.,46,571 12 866,Joakims Vei 5,4673,Lille,American Shorthair
